proposer,total_bills,solo_bills,collaboration_bills,avg_collaboration_size
서미화,20,0,20,29.50
박충권,100,0,100,10.30
박은정,10,0,10,12.00
김석기,30,0,30,10.67
백종헌,10,0,10,10.00
정성호,90,0,90,12.11
황정아,60,0,60,21.00
김성원,100,0,100,10.40
이철규,40,0,40,11.25
윤준병,60,0,60,11.83
김정재,70,0,70,66.00
박정하,30,0,30,11.33
강유정,100,0,100,10.40
이정문,90,0,90,11.44
김영배,80,0,80,21.25
이종배,70,0,70,10.86
송옥주,150,0,150,12.07
조경태,30,0,30,11.00
이재명,10,10,0,0.00
박정,140,0,140,14.14
문금주,50,10,40,20.50
윤상현,40,0,40,11.25
이인선,20,0,20,13.50
김한규,110,0,110,15.18
소병훈,90,0,90,11.67
이성윤,30,0,30,14.67
이헌승의원ㆍ전재수,10,0,10,18.00
안철수,20,0,20,12.50
나경원,10,0,10,18.00
정청래,50,0,50,10.60
김승수,160,0,160,10.88
서영교,110,0,110,13.36
서천호,20,0,20,13.50
오기형,20,0,20,18.50
김주영,50,0,50,16.60
박해철,110,0,110,13.91
권영세,130,0,130,10.08
이해민,50,0,50,12.20
박성훈,40,0,40,10.75
김선민,60,0,60,12.83
임미애,30,0,30,20.00
이원택,50,0,50,10.60
임이자,150,0,150,16.87
맹성규의원ㆍ이양수,10,0,10,10.00
이훈기,30,0,30,74.00
이수진,150,0,150,17.87
김성회,10,0,10,12.00
박수영,10,0,10,17.00
김윤덕,60,0,60,11.67
강경숙,20,0,20,16.50
김성환,20,0,20,72.00
모경종,40,0,40,12.00
송언석,80,0,80,23.00
임종득,60,0,60,11.67
이헌승,50,0,50,12.40
권칠승,50,0,50,10.20
서범수,50,0,50,10.60
강민국,40,0,40,12.75
유동수,30,0,30,11.67
엄태영,70,0,70,10.43
허영,30,0,30,15.33
최민희,60,0,60,25.67
이만희,10,0,10,72.00
정준호,90,0,90,10.67
박희승,80,0,80,15.62
조승환,10,0,10,10.00
전진숙,10,0,10,33.00
김은혜,20,0,20,10.00
윤영석,30,0,30,10.67
강준현,30,0,30,16.00
김기현,20,0,20,12.50
백혜련,100,0,100,11.70
김예지,60,0,60,11.67
김희정,100,0,100,20.70
유용원,40,0,40,11.50
강승규,30,0,30,10.00
김현정,30,0,30,16.33
김태호,30,0,30,11.33
구자근,70,0,70,12.43
김현,10,0,10,20.00
정일영,50,0,50,13.20
남인순,60,0,60,11.17
김정호,70,0,70,11.57
신영대,110,0,110,13.64
차규근,20,0,20,12.00
강대식,90,0,90,11.22
정성국,20,0,20,10.50
조지연,50,0,50,11.20
박상혁,70,0,70,11.86
조정훈,20,0,20,10.50
정희용,70,0,70,13.57
유상범,60,0,60,11.00
허종식,30,0,30,11.67
송석준,30,0,30,11.67
김선교,150,0,150,10.33
김용민,40,10,30,13.67
이재정,40,0,40,11.50
위성곤,20,0,20,11.00
민병덕,50,0,50,13.00
고민정,50,0,50,51.20
한병도,260,0,260,10.88
배준영,20,0,20,15.50
이병진,170,0,170,10.47
송재봉,40,0,40,13.50
민형배,240,0,240,11.62
김태선,10,0,10,15.00
진성준,80,0,80,12.00
김준형,20,0,20,13.50
신성범,100,0,100,11.70
이개호,20,0,20,10.00
최수진,30,0,30,18.00
홍기원,100,0,100,13.30
전재수,10,0,10,10.00
박대출,110,0,110,46.73
김원이,40,0,40,16.00
추경호,20,0,20,108.00
이연희,80,0,80,19.62
이소영,40,0,40,16.75
황명선,70,0,70,14.29
주철현,40,0,40,14.50
이용선,60,0,60,13.83
서왕진,10,0,10,12.00
한정애,280,0,280,11.29
박균택,10,0,10,14.00
이해식,80,0,80,11.75
김용만,70,0,70,22.00
김장겸,30,0,30,13.33
김남희,40,0,40,31.75
김위상,40,0,40,10.50
성일종,40,0,40,10.00
김도읍,30,0,30,13.00
이건태,10,0,10,50.00
서영석,20,0,20,25.00
김종양,40,0,40,11.00
김동아,10,0,10,13.00
김민석,10,0,10,13.00
윤종오,20,0,20,22.00
이광희,20,0,20,13.00
양부남,10,0,10,28.00
전현희,20,0,20,62.00
최은석,10,0,10,14.00
문대림,30,0,30,16.33
김영진,60,0,60,10.33
김영호,30,0,30,13.33
이재강,30,0,30,18.33
오세희,20,0,20,33.00
천준호,10,0,10,13.00
복기왕,20,0,20,29.00
조계원,20,0,20,15.00
곽규택,60,0,60,15.00
주호영,70,0,70,13.00
신장식,20,0,20,12.00
박주민,50,0,50,11.00
한준호,40,30,10,14.00
박수현,10,10,0,0.00
김문수,60,0,60,14.50
박홍배,90,0,90,11.78
강선우,20,0,20,17.00
강선영,10,0,10,12.00
박성준,20,0,20,14.00
배현진,40,0,40,13.25
최형두,30,0,30,15.00
용혜인,10,0,10,20.00
송기헌,30,0,30,12.33
고동진,30,0,30,81.67
정점식,30,0,30,43.33
정혜경,10,0,10,12.00
김상훈,30,0,30,108.00
박선원,10,0,10,20.00
임광현,20,0,20,19.50
이학영,90,0,90,10.11
이용우의원ㆍ신장식의원ㆍ윤종오,10,0,10,87.00
어기구,40,0,40,10.25
서지영,30,0,30,13.00
신동욱,30,0,30,15.67
문정복,20,0,20,11.50
임호선,10,0,10,17.00
정춘생,30,0,30,13.00
윤후덕,10,0,10,62.00
이성권,30,0,30,17.00
정을호,40,0,40,12.75
이상휘,20,0,20,14.50
최보윤,10,0,10,20.00
문진석,30,0,30,10.67
조인철,20,0,20,20.50
노종면,10,0,10,15.00
강훈식,20,0,20,12.00
김소희,10,0,10,15.00
강명구,10,0,10,11.00
김미애,30,0,30,75.67
정혜경의원ㆍ김준형의원ㆍ김영호,10,0,10,22.00
민홍철,90,0,90,11.00
정동만,20,0,20,18.00
한창민,20,0,20,11.50
박정현,10,0,10,38.00
한민수,40,0,40,18.00
한기호,10,0,10,10.00
문금주의원ㆍ정점식,50,0,50,22.40
이재관,20,0,20,21.50
윤호중,20,0,20,10.00
박덕흠,50,0,50,10.80
조정식,50,0,50,16.00
강득구,10,0,10,11.00
박범계,10,0,10,53.00
염태영,10,0,10,47.00
안도걸,30,0,30,15.33
김준혁,10,0,10,17.00
우재준,10,0,10,13.00
권영진,20,0,20,14.50
장경태,50,0,50,18.60
박지혜,20,0,20,34.50
임오경,50,0,50,11.80
장종태,10,0,10,17.00
박성민,10,0,10,10.00
박지원,10,0,10,20.00
곽규택의원ㆍ민홍철,10,0,10,20.00
박홍근,10,0,10,41.00
박찬대,30,0,30,2.00
